SYMBOL,SERIES_x,PRICE_RANGE,PRICE_BAND,TRADED_VALUE,SERIES_y,SERIES,VAR,is_fno,category
011NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
021NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
031NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
041NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
051NSETEST,BL,198.00-202.00,1.0,0.0,,BL,9999.0,False,Only Delivery
051NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
061NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
071NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
081NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
091NSETEST,EQ,180.00-220.00,10.0,0.0,,EQ,9999.0,False,Only Delivery
0MOFSL26,N1,903.99-1355.98,20.0,225998.0,N1,N1,0.0,False,Only Delivery
0MOFSL26,U1,800.00-1200.00,20.0,225998.0,N1,U1,0.0,False,Only Delivery
0MOFSL27,N3,908.00-1362.00,20.0,113500.0,N3,N3,0.0,False,Only Delivery
0MOFSL27,U3,800.00-1200.00,20.0,113500.0,N3,U3,0.0,False,Only Delivery
0NHIT34,N0,80000.00-120000.00,20.0,0.0,,N0,0.0,False,Only Delivery
0NHIT34,U0,80000.00-120000.00,20.0,0.0,,U0,0.0,False,Only Delivery
0NHIT35,N0,80000.00-120000.00,20.0,0.0,,N0,0.0,False,Only Delivery
0NHIT35,U0,80000.00-120000.00,20.0,0.0,,U0,0.0,False,Only Delivery
0RL34,N0,68960.00-103440.00,20.0,0.0,,N0,0.0,False,Only Delivery
0RL34,U0,80000.00-120000.00,20.0,0.0,,U0,0.0,False,Only Delivery
0SCL26,MR,800.00-1200.00,20.0,84508.0,YR,MR,0.0,False,Only Delivery
0SCL26,YR,913.60-1370.40,20.0,84508.0,YR,YR,0.0,False,Only Delivery
0SCL27,MW,800.00-1200.00,20.0,2218.6,YW,MW,0.0,False,Only Delivery
0SCL27,YW,892.48-1338.72,20.0,2218.6,YW,YW,0.0,False,Only Delivery
1003IIFL29,NC,836.00-1254.00,20.0,58880.0,NC,NC,0.0,False,Only Delivery
1003IIFL29,UC,800.00-1200.00,20.0,58880.0,NC,UC,0.0,False,Only Delivery
1003ISFL28,N4,804.40-1206.60,20.0,591700.165,N4,N4,0.0,False,Only Delivery
1003ISFL28,U4,800.00-1200.00,20.0,591700.165,N4,U4,0.0,False,Only Delivery
1003SCFL31,14,800.00-1200.00,20.0,41679.0,Z4,14,0.0,False,Only Delivery
1003SCFL31,Z4,758.48-1137.72,20.0,41679.0,Z4,Z4,0.0,False,Only Delivery
1003SCL30,68,571.42-857.13,20.0,0.0,,68,0.0,False,Only Delivery
1003SCL30,BW,571.42-857.13,20.0,0.0,,BW,0.0,False,Only Delivery
1003SCL30A,NV,607.67-911.50,20.0,61032.863333333335,NV,NV,0.0,False,Only Delivery
1003SCL30A,UV,593.32-889.98,20.0,61032.863333333335,NV,UV,0.0,False,Only Delivery
1003SCL31,1Q,800.00-1200.00,20.0,0.0,,1Q,0.0,False,Only Delivery
1003SCL31,ZQ,720.24-1080.36,20.0,0.0,,ZQ,0.0,False,Only Delivery
1003SCL31A,N1,720.56-1080.84,20.0,0.0,,N1,0.0,False,Only Delivery
1003SCL31A,U1,800.00-1200.00,20.0,0.0,,U1,0.0,False,Only Delivery
1003SCL31P,N1,755.21-1132.82,20.0,0.0,,N1,0.0,False,Only Delivery
1003SCL31P,U1,800.00-1200.00,20.0,0.0,,U1,0.0,False,Only Delivery
1003SCL32,N1,800.00-1200.00,20.0,0.0,,N1,0.0,False,Only Delivery
1003SCL32,U1,800.00-1200.00,20.0,0.0,,U1,0.0,False,Only Delivery
1003SFIL28,NX,584.00-876.00,20.0,0.0,,NX,0.0,False,Only Delivery
